Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,97,29,49.3,3.5,5.577564239501953
2,97,29,49.3,3.5,228.67584228515625
3,97,37,54.3,3.3,258.0609321594238
4,97,37,54.3,3.3,249.25875663757324
5,97,38,66.8,2.9,274.5933532714844
6,97,44,67.4,3.0,239.11809921264648
7,97,49,69.0,2.8,273.04887771606445
8,97,49,69.0,2.8,242.45977401733398
9,97,50,78.2,2.4,280.3478240966797
10,97,54,80.1,2.3,247.62535095214844
11,97,60,87.8,2.0,268.53036880493164
12,97,69,91.1,1.9,252.44855880737305
13,97,69,91.1,1.9,270.95866203308105
14,97,80,92.2,1.9,274.306058883667
15,97,89,93.9,1.9,263.0646228790283
16,97,91,94.6,1.9,293.210506439209
17,97,91,94.6,1.9,290.07411003112793
18,97,92,94.7,1.9,255.1889419555664
19,97,92,94.9,1.9,301.8801212310791
20,97,92,94.9,1.9,265.2895450592041
21,97,92,94.9,1.9,269.87171173095703
22,97,93,95.4,1.9,284.73806381225586
23,97,93,95.4,1.9,240.0493621826172
24,97,93,95.5,1.9,263.6532783508301
25,97,93,95.5,1.9,285.3662967681885
26,97,93,95.5,1.9,291.9459342956543
27,97,94,95.6,1.9,281.9380760192871
28,97,94,95.6,1.9,269.81210708618164
29,97,94,95.6,1.9,290.7593250274658
30,97,94,95.6,1.9,261.87992095947266
31,97,94,95.6,1.9,283.71500968933105
32,97,94,95.6,1.9,257.9536437988281
33,97,94,95.7,1.9,278.8081169128418
34,97,94,95.7,1.9,269.29759979248047
35,97,94,95.7,1.9,257.4307918548584
36,97,94,95.7,1.9,254.1027069091797
37,97,94,95.7,1.9,263.5526657104492
38,97,94,95.7,1.9,271.9266414642334
39,97,94,95.7,1.9,260.3881359100342
40,97,94,95.7,1.9,277.10771560668945
41,97,94,95.7,1.9,274.1858959197998
42,97,94,95.7,1.9,263.2641792297363
43,97,94,95.7,1.9,248.5184669494629
44,97,94,95.7,1.9,254.2703151702881
45,97,94,95.7,1.9,293.34163665771484
46,97,94,95.7,1.9,263.4451389312744
47,97,94,95.7,1.9,273.1606960296631
48,97,94,95.9,1.9,281.27050399780273
49,97,94,95.9,1.9,285.7682704925537
50,97,94,95.9,1.9,275.0227451324463
51,97,94,95.9,1.9,246.90794944763184
52,97,94,95.9,1.9,285.412073135376
53,97,94,95.9,1.9,249.5584487915039
54,97,94,95.9,1.9,261.3787651062012
55,97,94,95.9,1.9,266.2310600280762
56,97,94,95.9,1.9,258.8982582092285
57,97,94,95.9,1.9,275.39634704589844
58,97,94,95.9,1.9,256.7458152770996
59,97,94,95.9,1.9,279.47258949279785
60,97,94,95.9,1.9,279.5071601867676
61,97,94,95.9,1.9,247.93744087219238
62,97,94,95.9,1.9,267.41528511047363
63,97,94,95.9,1.9,275.4237651824951
64,97,94,95.9,1.9,263.2632255554199
65,97,94,95.9,1.9,245.05281448364258
66,97,94,95.9,1.9,271.64649963378906
67,97,94,95.9,1.9,258.33630561828613
68,97,94,95.9,1.9,255.523681640625
69,97,94,95.9,1.9,262.04872131347656
70,97,94,95.9,1.9,264.09149169921875
71,97,94,95.9,1.9,296.9515323638916
72,97,94,95.9,1.9,265.31291007995605
73,97,94,95.9,1.9,267.43078231811523
74,97,94,95.9,1.9,292.01579093933105
75,97,94,95.9,1.9,296.6902256011963
76,97,94,95.9,1.9,284.78050231933594
77,97,94,95.9,1.9,253.53527069091797
78,97,94,95.9,1.9,274.25074577331543
79,97,94,95.9,1.9,269.84691619873047
80,97,94,95.9,1.9,263.4701728820801
81,97,94,95.9,1.9,266.704797744751
82,97,94,95.9,1.9,284.87205505371094
83,97,94,96.2,1.9,268.27049255371094
84,97,94,96.2,1.9,278.8238525390625
85,97,94,96.2,1.9,303.10606956481934
86,97,94,96.2,1.9,277.93264389038086
87,97,94,96.2,1.9,276.3073444366455
88,97,94,96.2,1.9,270.4296112060547
89,97,94,96.2,1.9,274.4765281677246
90,97,94,96.2,1.9,273.2245922088623
91,97,94,96.2,1.9,287.3387336730957
92,97,95,96.4,1.9,267.2574520111084
93,97,95,96.4,1.9,263.34595680236816
94,97,95,96.4,1.9,277.65917778015137
95,97,95,96.4,1.9,274.3222713470459
96,97,95,96.4,1.9,262.6655101776123
97,97,95,96.4,1.9,291.1369800567627
98,97,95,96.4,1.9,270.27249336242676
99,97,95,96.4,1.9,263.3838653564453
100,97,95,96.4,1.9,262.60852813720703
Media ,97.0,95.0,96.4,1.9,262.60852813720703
