Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,37,59.8,3.5,4.993200302124023
2,98,59,76.9,2.8,260.18214225769043
3,98,64,82.2,2.4,264.392614364624
4,98,64,82.2,2.4,278.98597717285156
5,98,73,86.7,2.1,278.7303924560547
6,98,76,87.1,2.1,269.12546157836914
7,98,82,90.7,2.0,263.7808322906494
8,98,82,90.7,2.0,280.3936004638672
9,98,86,94.6,1.9,283.85114669799805
10,98,91,95.7,1.9,274.8856544494629
11,98,91,95.7,1.9,317.1679973602295
12,98,93,95.9,1.8,287.412166595459
13,98,94,96.7,1.8,293.0562496185303
14,98,94,96.7,1.8,295.0854301452637
15,98,95,96.8,1.8,333.0879211425781
16,98,95,96.8,1.8,294.48437690734863
17,98,95,97.0,1.8,310.6513023376465
18,98,95,97.0,1.8,311.1417293548584
19,98,95,97.0,1.8,320.6145763397217
20,98,95,97.0,1.8,317.8083896636963
21,98,95,97.0,1.8,322.74580001831055
22,98,95,97.0,1.8,308.3302974700928
23,98,95,97.0,1.8,352.34713554382324
24,98,95,97.0,1.8,349.35879707336426
25,98,95,97.0,1.8,296.4162826538086
26,98,95,97.2,1.8,341.4177894592285
27,98,95,97.2,1.8,345.534086227417
28,98,95,97.2,1.8,319.80013847351074
29,98,95,97.2,1.8,368.511438369751
30,98,95,97.2,1.8,380.9795379638672
31,98,95,97.2,1.8,354.24041748046875
32,98,95,97.2,1.8,366.4698600769043
33,98,95,97.2,1.8,342.540979385376
34,98,95,97.2,1.8,347.36108779907227
35,98,95,97.2,1.8,365.88191986083984
36,98,95,97.2,1.8,344.4802761077881
37,98,96,97.3,1.8,343.92499923706055
38,98,97,97.4,1.8,361.24300956726074
39,98,97,97.4,1.8,372.83897399902344
40,98,97,97.4,1.8,393.5110569000244
41,98,97,97.4,1.8,376.79028511047363
42,98,97,97.4,1.8,324.6481418609619
43,98,97,97.4,1.8,392.7493095397949
44,98,97,97.4,1.8,396.52419090270996
45,98,97,97.4,1.8,388.32759857177734
46,98,97,97.4,1.8,387.8023624420166
47,98,97,97.4,1.8,394.6101665496826
48,98,97,97.4,1.8,404.3581485748291
49,98,97,97.4,1.8,407.89055824279785
50,98,97,97.4,1.8,409.6503257751465
51,98,97,97.4,1.8,401.4716148376465
52,98,97,97.4,1.8,402.3730754852295
53,98,97,97.4,1.8,414.26825523376465
54,98,97,97.4,1.8,400.6185531616211
55,98,97,97.4,1.8,407.4432849884033
56,98,97,97.4,1.8,413.76233100891113
57,98,97,97.4,1.8,436.35082244873047
58,98,97,97.4,1.8,421.94271087646484
59,98,97,97.4,1.8,423.3827590942383
60,98,97,97.4,1.8,409.64555740356445
61,98,97,97.4,1.8,429.14390563964844
62,98,97,97.4,1.8,440.96899032592773
63,98,97,97.4,1.8,480.54003715515137
64,98,97,97.4,1.8,446.0725784301758
65,98,97,97.4,1.8,453.16219329833984
66,98,97,97.4,1.8,436.1722469329834
67,98,97,97.4,1.8,464.9226665496826
68,98,97,97.4,1.8,481.23812675476074
69,98,97,97.4,1.8,450.10852813720703
70,98,97,97.4,1.8,470.09778022766113
71,98,97,97.4,1.8,442.7008628845215
72,98,97,97.4,1.8,441.71714782714844
73,98,97,97.4,1.8,494.3854808807373
74,98,97,97.4,1.8,475.9020805358887
75,98,97,97.4,1.8,485.476016998291
76,98,97,97.4,1.8,496.89650535583496
77,98,97,97.4,1.8,473.84047508239746
78,98,97,97.4,1.8,494.57645416259766
79,98,97,97.4,1.8,459.56945419311523
80,98,97,97.4,1.8,478.9927005767822
81,98,97,97.4,1.8,513.7078762054443
82,98,97,97.4,1.8,469.48766708374023
83,98,97,97.4,1.8,508.4424018859863
84,98,97,97.4,1.8,476.4220714569092
85,98,97,97.4,1.8,513.0095481872559
86,98,97,97.4,1.8,465.5139446258545
87,98,97,97.4,1.8,516.8843269348145
88,98,97,97.4,1.8,480.1619052886963
89,98,97,97.4,1.8,538.5181903839111
90,98,97,97.4,1.8,482.6474189758301
91,98,97,97.4,1.8,531.1048030853271
92,98,97,97.4,1.8,497.6081848144531
93,98,97,97.4,1.8,527.3945331573486
94,98,97,97.4,1.8,505.9821605682373
95,98,97,97.4,1.8,543.0581569671631
96,98,97,97.4,1.8,546.0944175720215
97,98,97,97.4,1.8,589.0352725982666
98,98,97,97.4,1.8,592.5922393798828
99,98,97,97.4,1.8,570.5606937408447
100,98,97,97.4,1.8,519.6104049682617
Media ,98.0,97.0,97.4,1.8,519.6104049682617
