Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,50,75.0,2.7,3.507852554321289
2,98,68,80.1,2.4,255.52701950073242
3,98,68,83.1,2.3,240.54288864135742
4,98,72,84.0,2.4,266.65711402893066
5,98,72,84.0,2.4,234.07626152038574
6,98,74,85.6,2.3,268.4450149536133
7,98,74,85.6,2.3,261.78479194641113
8,98,74,85.6,2.3,247.13468551635742
9,98,76,90.1,2.1,259.86289978027344
10,98,76,90.1,2.1,265.0477886199951
11,98,85,94.1,2.0,243.35646629333496
12,98,87,94.3,1.9,266.5102481842041
13,98,88,94.8,1.9,222.31507301330566
14,98,88,94.9,1.9,269.1025733947754
15,98,92,96.3,1.9,267.9708003997803
16,98,95,96.9,1.9,267.39501953125
17,98,95,96.9,1.9,243.09992790222168
18,98,95,96.9,1.9,285.01009941101074
19,98,95,96.9,1.9,245.89920043945312
20,98,95,96.9,1.9,278.90539169311523
21,98,95,96.9,1.9,267.60196685791016
22,98,95,96.9,1.9,264.1029357910156
23,98,96,97.0,1.9,254.0738582611084
24,98,96,97.0,1.9,255.9828758239746
25,98,96,97.0,1.9,264.57881927490234
26,98,96,97.0,1.9,238.40594291687012
27,98,96,97.0,1.9,298.91061782836914
28,98,96,97.0,1.9,259.95421409606934
29,98,96,97.0,1.9,232.4061393737793
30,98,96,97.0,1.9,287.2185707092285
31,98,96,97.0,1.9,297.5199222564697
32,98,96,97.0,1.9,244.05813217163086
33,98,96,97.0,1.9,266.29114151000977
34,98,96,97.0,1.9,255.9680938720703
35,98,96,97.0,1.9,256.1657428741455
36,98,96,97.0,1.9,253.9811134338379
37,98,96,97.0,1.9,262.1943950653076
38,98,96,97.0,1.9,284.44671630859375
39,98,96,97.0,1.9,274.0664482116699
40,98,96,97.1,1.9,248.9309310913086
41,98,96,97.1,1.9,279.9711227416992
42,98,96,97.1,1.9,246.52838706970215
43,98,96,97.1,1.9,307.3079586029053
44,98,96,97.1,1.9,262.53700256347656
45,98,96,97.1,1.9,246.98472023010254
46,98,96,97.1,1.9,232.47146606445312
47,98,96,97.1,1.9,249.94993209838867
48,98,96,97.1,1.9,304.78644371032715
49,98,97,97.3,1.9,265.12813568115234
50,98,97,97.3,1.9,250.93603134155273
51,98,97,97.3,1.9,293.4129238128662
52,98,97,97.3,1.9,269.2749500274658
53,98,97,97.3,1.9,268.04637908935547
54,98,97,97.3,1.9,261.99960708618164
55,98,97,97.3,1.9,261.5542411804199
56,98,97,97.3,1.9,257.8904628753662
57,98,97,97.3,1.9,270.42555809020996
58,98,97,97.3,1.9,266.5824890136719
59,98,97,97.3,1.9,255.6295394897461
60,98,97,97.3,1.9,294.22736167907715
61,98,97,97.3,1.9,224.49660301208496
62,98,97,97.3,1.9,277.0507335662842
63,98,97,97.3,1.9,266.97492599487305
64,98,97,97.3,1.9,255.3107738494873
65,98,97,97.3,1.9,240.41008949279785
66,98,97,97.3,1.9,296.25487327575684
67,98,97,97.3,1.9,259.753942489624
68,98,97,97.3,1.9,246.23489379882812
69,98,97,97.3,1.9,254.0144920349121
70,98,97,97.3,1.9,289.2310619354248
71,98,97,97.3,1.9,257.71236419677734
72,98,97,97.3,1.9,260.6959342956543
73,98,97,97.3,1.9,255.23948669433594
74,98,97,97.3,1.9,266.39270782470703
75,98,97,97.3,1.9,258.41212272644043
76,98,97,97.3,1.9,296.83828353881836
77,98,97,97.3,1.9,268.9828872680664
78,98,97,97.3,1.9,255.14578819274902
79,98,97,97.3,1.9,251.9528865814209
80,98,97,97.3,1.9,273.99206161499023
81,98,97,97.3,1.9,282.03797340393066
82,98,97,97.3,1.9,252.88057327270508
83,98,97,97.3,1.9,266.22509956359863
84,98,97,97.3,1.9,263.9331817626953
85,98,97,97.3,1.9,254.5166015625
86,98,97,97.3,1.9,280.5476188659668
87,98,97,97.3,1.9,261.22379302978516
88,98,97,97.3,1.9,262.8192901611328
89,98,97,97.3,1.9,244.66395378112793
90,98,97,97.3,1.9,240.48185348510742
91,98,97,97.3,1.9,277.52089500427246
92,98,97,97.3,1.9,291.4152145385742
93,98,97,97.3,1.9,294.9817180633545
94,98,97,97.3,1.9,254.00686264038086
95,98,97,97.3,1.9,282.50694274902344
96,98,97,97.3,1.9,257.74073600769043
97,98,97,97.3,1.9,271.30579948425293
98,98,97,97.3,1.9,251.91092491149902
99,98,97,97.3,1.9,255.45716285705566
100,98,97,97.3,1.9,289.4556522369385
Media ,98.0,97.0,97.3,1.9,289.4556522369385
