Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,97,39,63.6,3.0,5.138874053955078
2,98,51,74.1,2.7,144.7615623474121
3,98,54,78.8,2.6,134.59157943725586
4,98,57,83.2,2.5,132.88283348083496
5,98,57,83.2,2.5,145.30682563781738
6,98,57,83.2,2.5,144.19865608215332
7,98,57,83.2,2.5,147.47309684753418
8,98,57,83.2,2.5,144.639253616333
9,98,57,83.2,2.5,163.14458847045898
10,98,57,83.2,2.5,156.1124324798584
11,98,57,83.2,2.5,156.64076805114746
12,98,57,83.2,2.5,158.89859199523926
13,98,57,83.2,2.5,157.57131576538086
14,98,57,83.2,2.5,156.3427448272705
15,98,57,83.2,2.5,181.74147605895996
16,98,60,87.3,2.4,170.9423065185547
17,98,60,87.3,2.4,177.54530906677246
18,98,60,87.3,2.4,170.69315910339355
19,98,60,87.3,2.4,185.8055591583252
20,98,60,87.3,2.4,172.1639633178711
21,98,60,87.3,2.4,196.62213325500488
22,98,60,87.3,2.4,180.1431179046631
23,98,60,87.3,2.4,188.14826011657715
24,98,60,87.3,2.4,185.2860450744629
25,98,60,87.3,2.4,189.47672843933105
26,98,60,87.3,2.4,202.32820510864258
27,98,60,87.3,2.4,198.00353050231934
28,98,60,87.3,2.4,200.4404067993164
29,98,60,87.3,2.4,200.65617561340332
30,98,60,91.1,2.3,209.07306671142578
31,98,60,91.1,2.3,223.19579124450684
32,98,60,91.1,2.3,209.4264030456543
33,98,60,91.1,2.3,214.52784538269043
34,98,60,91.1,2.3,214.55001831054688
35,98,60,91.1,2.3,222.43142127990723
36,98,60,91.1,2.3,243.38102340698242
37,98,82,94.8,2.1,233.78944396972656
38,98,82,94.8,2.1,223.27804565429688
39,98,82,94.8,2.1,233.92224311828613
40,98,82,94.8,2.1,261.67845726013184
41,98,82,94.8,2.1,248.3677864074707
42,98,82,94.8,2.1,249.98092651367188
43,98,82,94.8,2.1,245.6674575805664
44,98,82,94.8,2.1,261.1083984375
45,98,82,94.8,2.1,253.33070755004883
46,98,82,94.8,2.1,261.29674911499023
47,98,82,94.8,2.1,282.82952308654785
48,98,82,94.8,2.1,263.4158134460449
49,98,82,94.8,2.1,261.0499858856201
50,98,82,94.8,2.1,261.8298530578613
51,98,82,94.8,2.1,272.56178855895996
52,98,82,94.8,2.1,274.26791191101074
53,98,82,94.8,2.1,279.74653244018555
54,98,82,94.8,2.1,276.5309810638428
55,98,82,94.8,2.1,289.5541191101074
56,98,82,94.8,2.1,285.37702560424805
57,98,82,94.8,2.1,278.8379192352295
58,98,82,94.8,2.1,287.9979610443115
59,98,82,94.8,2.1,301.07736587524414
60,98,82,94.8,2.1,292.0551300048828
61,98,82,94.8,2.1,301.1806011199951
62,98,82,94.8,2.1,308.85863304138184
63,98,82,94.8,2.1,304.746150970459
64,98,82,94.8,2.1,306.75268173217773
65,98,82,94.8,2.1,309.36527252197266
66,98,82,94.8,2.1,335.8771800994873
67,98,82,94.8,2.1,315.6781196594238
68,98,82,94.8,2.1,320.64127922058105
69,98,82,94.8,2.1,334.8512649536133
70,98,82,94.8,2.1,323.8670825958252
71,98,82,94.8,2.1,331.2680721282959
72,98,82,94.8,2.1,345.5498218536377
73,98,82,94.8,2.1,334.6819877624512
74,98,82,94.8,2.1,341.8259620666504
75,98,82,94.8,2.1,350.9516716003418
76,98,82,94.8,2.1,337.1710777282715
77,98,82,94.8,2.1,347.0034599304199
78,98,82,94.8,2.1,356.5409183502197
79,98,82,94.8,2.1,358.69622230529785
80,98,82,94.8,2.1,384.0055465698242
81,98,82,94.8,2.1,363.2082939147949
82,98,82,94.8,2.1,354.85053062438965
83,98,82,94.8,2.1,367.66743659973145
84,98,82,94.8,2.1,356.5065860748291
85,98,82,94.8,2.1,368.6373233795166
86,98,82,94.8,2.1,388.91148567199707
87,98,82,94.8,2.1,369.4441318511963
88,98,82,94.8,2.1,371.39177322387695
89,98,82,94.8,2.1,393.5742378234863
90,98,82,94.8,2.1,377.9566287994385
91,98,82,94.8,2.1,397.89843559265137
92,98,82,94.8,2.1,382.0626735687256
93,98,82,94.8,2.1,383.10694694519043
94,98,82,94.8,2.1,406.0523509979248
95,98,82,94.8,2.1,402.05883979797363
96,98,82,94.8,2.1,399.49512481689453
97,98,82,94.8,2.1,408.46848487854004
98,98,82,94.8,2.1,402.85348892211914
99,98,82,94.8,2.1,421.5366840362549
100,98,82,94.8,2.1,401.84783935546875
Media ,98.0,82.0,94.8,2.1,401.84783935546875
