Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,52,70.9,2.4,4.600286483764648
2,98,53,75.4,2.5,137.65501976013184
3,98,55,79.8,2.4,136.08551025390625
4,98,55,79.8,2.4,135.02883911132812
5,98,55,79.8,2.4,133.71539115905762
6,98,55,79.8,2.4,132.62200355529785
7,98,55,79.8,2.4,149.9464511871338
8,98,55,79.8,2.4,126.0371208190918
9,98,55,79.8,2.4,130.22732734680176
10,98,55,79.8,2.4,127.37202644348145
11,98,55,79.8,2.4,135.3781223297119
12,98,55,79.8,2.4,134.9339485168457
13,98,55,79.8,2.4,136.18779182434082
14,98,55,79.8,2.4,143.01753044128418
15,98,55,79.8,2.4,138.1516456604004
16,98,55,79.8,2.4,131.30927085876465
17,98,55,79.8,2.4,138.08822631835938
18,98,55,79.8,2.4,129.49109077453613
19,98,55,79.8,2.4,157.84811973571777
20,98,55,79.8,2.4,136.45267486572266
21,98,55,79.8,2.4,141.0672664642334
22,98,55,79.8,2.4,128.33499908447266
23,98,55,79.8,2.4,133.5437297821045
24,98,55,79.8,2.4,134.5977783203125
25,98,55,79.8,2.4,132.16590881347656
26,98,55,79.8,2.4,136.28911972045898
27,98,55,79.8,2.4,130.44142723083496
28,98,55,79.8,2.4,132.41934776306152
29,98,55,79.8,2.4,143.16320419311523
30,98,55,79.8,2.4,131.85954093933105
31,98,55,79.8,2.4,133.8202953338623
32,98,55,79.8,2.4,130.02610206604004
33,98,55,79.8,2.4,139.21880722045898
34,98,55,79.8,2.4,126.38211250305176
35,98,55,79.8,2.4,141.556978225708
36,98,55,79.8,2.4,143.43762397766113
37,98,55,79.8,2.4,137.61496543884277
38,98,55,79.8,2.4,127.58588790893555
39,98,55,79.8,2.4,136.06810569763184
40,98,55,79.8,2.4,130.84149360656738
41,98,55,79.8,2.4,135.1644992828369
42,98,55,79.8,2.4,131.97040557861328
43,98,55,79.8,2.4,132.4934959411621
44,98,55,79.8,2.4,140.08617401123047
45,98,55,79.8,2.4,132.92574882507324
46,98,55,79.8,2.4,136.1258029937744
47,98,55,79.8,2.4,136.89279556274414
48,98,55,79.8,2.4,130.78808784484863
49,98,55,79.8,2.4,138.64588737487793
50,98,55,79.8,2.4,128.36480140686035
51,98,55,79.8,2.4,143.78118515014648
52,98,55,79.8,2.4,126.93500518798828
53,98,55,79.8,2.4,142.68851280212402
54,98,55,79.8,2.4,170.47834396362305
55,98,55,79.8,2.4,141.95871353149414
56,98,55,79.8,2.4,135.41054725646973
57,98,55,79.8,2.4,131.00075721740723
58,98,55,79.8,2.4,140.2280330657959
59,98,55,79.8,2.4,136.8567943572998
60,98,55,79.8,2.4,128.96084785461426
61,98,55,79.8,2.4,131.7462921142578
62,98,55,79.8,2.4,138.40937614440918
63,98,55,79.8,2.4,133.94737243652344
64,98,55,79.8,2.4,125.4129409790039
65,98,55,79.8,2.4,137.52508163452148
66,98,55,79.8,2.4,138.79847526550293
67,98,55,79.8,2.4,140.89727401733398
68,98,55,79.8,2.4,132.75623321533203
69,98,55,79.8,2.4,136.43431663513184
70,98,55,79.8,2.4,132.1730613708496
71,98,55,79.8,2.4,135.5602741241455
72,98,55,79.8,2.4,151.68070793151855
73,98,55,79.8,2.4,148.86140823364258
74,98,55,79.8,2.4,126.7542839050293
75,98,55,79.8,2.4,138.397216796875
76,98,55,79.8,2.4,134.8874568939209
77,98,55,79.8,2.4,135.03503799438477
78,98,55,79.8,2.4,133.27860832214355
79,98,55,79.8,2.4,138.61727714538574
80,98,55,79.8,2.4,135.8354091644287
81,98,55,79.8,2.4,145.13850212097168
82,98,55,79.8,2.4,129.9433708190918
83,98,55,79.8,2.4,132.7807903289795
84,98,55,79.8,2.4,136.28578186035156
85,98,55,79.8,2.4,135.91504096984863
86,98,55,79.8,2.4,130.40614128112793
87,98,55,79.8,2.4,139.7840976715088
88,98,55,79.8,2.4,148.47779273986816
89,98,55,79.8,2.4,134.8714828491211
90,98,55,79.8,2.4,128.77821922302246
91,98,55,79.8,2.4,141.78752899169922
92,98,55,79.8,2.4,125.53548812866211
93,98,55,79.8,2.4,135.33377647399902
94,98,55,79.8,2.4,146.69513702392578
95,98,55,79.8,2.4,147.0637321472168
96,98,55,79.8,2.4,132.11870193481445
97,98,55,79.8,2.4,138.32759857177734
98,98,55,79.8,2.4,129.4102668762207
99,98,55,79.8,2.4,141.99495315551758
100,98,55,79.8,2.4,128.1566619873047
Media ,98.0,55.0,79.8,2.4,128.1566619873047
