Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,80,35,52.8,3.6,2.9518604278564453
2,80,44,61.0,3.1,325.6990909576416
3,80,46,63.5,3.1,333.21666717529297
4,98,48,73.3,2.6,304.48198318481445
5,98,59,74.4,2.5,266.171932220459
6,98,63,75.2,2.5,227.2648811340332
7,98,67,80.7,2.3,248.93784523010254
8,98,67,83.6,2.2,213.4566307067871
9,98,71,85.9,2.1,257.5697898864746
10,98,73,87.2,2.1,279.3612480163574
11,98,73,87.2,2.1,271.9883918762207
12,98,73,87.2,2.1,261.4316940307617
13,98,73,87.2,2.1,242.24495887756348
14,98,80,91.1,2.0,272.64404296875
15,98,80,91.1,2.0,239.75133895874023
16,98,84,92.5,1.9,253.94797325134277
17,98,88,93.8,1.9,247.0388412475586
18,98,91,94.7,1.9,277.70042419433594
19,98,91,94.7,1.9,259.0818405151367
20,98,92,95.5,1.9,239.60328102111816
21,98,94,95.7,1.9,244.9779510498047
22,98,94,95.7,1.9,260.91575622558594
23,98,94,95.7,1.9,237.47873306274414
24,98,94,95.7,1.9,239.64810371398926
25,98,94,95.7,1.9,252.72512435913086
26,98,94,95.7,1.9,268.18394660949707
27,98,94,95.7,1.9,254.5757293701172
28,98,94,96.0,1.9,244.43984031677246
29,98,94,96.0,1.9,241.0104274749756
30,98,94,96.0,1.9,287.4431610107422
31,98,94,96.0,1.9,268.3985233306885
32,98,94,96.0,1.9,243.5014247894287
33,98,94,96.3,1.9,279.3245315551758
34,98,94,96.3,1.9,260.64395904541016
35,98,94,96.3,1.9,264.59527015686035
36,98,94,96.3,1.9,240.0212287902832
37,98,94,96.5,1.9,283.6461067199707
38,98,94,96.5,1.9,307.2395324707031
39,98,96,96.8,1.9,251.47247314453125
40,98,96,96.8,1.9,264.8892402648926
41,98,96,96.8,1.9,277.4343490600586
42,98,96,96.8,1.9,278.97047996520996
43,98,96,96.8,1.9,284.3799591064453
44,98,96,96.8,1.9,252.17270851135254
45,98,96,96.8,1.9,269.9751853942871
46,98,96,96.8,1.9,244.59528923034668
47,98,96,96.8,1.9,260.16974449157715
48,98,96,96.8,1.9,253.35311889648438
49,98,96,96.8,1.9,273.75102043151855
50,98,96,96.8,1.9,250.823974609375
51,98,96,96.8,1.9,274.31750297546387
52,98,96,96.8,1.9,268.2943344116211
53,98,96,96.8,1.9,226.89223289489746
54,98,96,96.9,1.9,249.69983100891113
55,98,96,96.9,1.9,268.51654052734375
56,98,96,96.9,1.9,264.33658599853516
57,98,96,96.9,1.9,256.4077377319336
58,98,97,97.2,1.9,253.11517715454102
59,98,97,97.2,1.9,292.0725345611572
60,98,97,97.2,1.9,269.73962783813477
61,98,97,97.2,1.9,258.0244541168213
62,98,97,97.2,1.9,276.5533924102783
63,98,97,97.2,1.9,279.65593338012695
64,98,97,97.2,1.9,280.0896167755127
65,98,97,97.2,1.9,280.8959484100342
66,98,97,97.2,1.9,252.20298767089844
67,98,97,97.2,1.9,245.4679012298584
68,98,97,97.2,1.9,269.4277763366699
69,98,97,97.2,1.9,280.1995277404785
70,98,97,97.2,1.9,270.38025856018066
71,98,97,97.2,1.9,236.61565780639648
72,98,97,97.2,1.9,272.2303867340088
73,98,97,97.2,1.9,283.1254005432129
74,98,97,97.2,1.9,268.5554027557373
75,98,97,97.2,1.9,264.4314765930176
76,98,97,97.2,1.9,306.7772388458252
77,98,97,97.2,1.9,297.8048324584961
78,98,97,97.2,1.9,266.812801361084
79,98,97,97.2,1.9,282.08446502685547
80,98,97,97.2,1.9,291.63646697998047
81,98,97,97.2,1.9,247.82896041870117
82,98,97,97.2,1.9,286.8962287902832
83,98,97,97.2,1.9,277.65655517578125
84,98,97,97.2,1.9,245.1956272125244
85,98,97,97.2,1.9,263.7479305267334
86,98,97,97.3,1.9,248.18062782287598
87,98,97,97.3,1.9,236.00101470947266
88,98,97,97.3,1.9,287.78672218322754
89,98,97,97.3,1.9,284.50798988342285
90,98,97,97.3,1.9,228.5618782043457
91,98,97,97.4,1.9,293.27392578125
92,98,97,97.4,1.9,234.42625999450684
93,98,97,97.4,1.9,246.4005947113037
94,98,97,97.4,1.9,279.6781063079834
95,98,97,97.4,1.9,224.46393966674805
96,98,97,97.4,1.9,244.29917335510254
97,98,97,97.4,1.9,257.4887275695801
98,98,97,97.4,1.9,267.9409980773926
99,98,97,97.4,1.9,264.9827003479004
100,98,97,97.4,1.9,266.0658359527588
Media ,98.0,97.0,97.4,1.9,266.0658359527588
