Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,46,70.4,2.1,3.533601760864258
2,98,46,70.4,2.1,101.36294364929199
3,98,46,70.4,2.1,110.93354225158691
4,98,46,70.4,2.1,131.96420669555664
5,98,46,70.4,2.1,114.65811729431152
6,98,46,70.4,2.1,105.2236557006836
7,98,46,70.4,2.1,108.72769355773926
8,98,46,70.4,2.1,106.69350624084473
9,98,46,70.4,2.1,114.55368995666504
10,98,46,70.4,2.1,105.38768768310547
11,98,46,70.4,2.1,114.55774307250977
12,98,46,70.4,2.1,109.76576805114746
13,98,46,70.4,2.1,126.03592872619629
14,98,46,70.4,2.1,105.87811470031738
15,98,46,70.4,2.1,103.72424125671387
16,98,46,70.4,2.1,112.24365234375
17,98,46,70.4,2.1,107.59377479553223
18,98,46,70.4,2.1,119.71187591552734
19,98,46,70.4,2.1,114.09640312194824
20,98,46,70.4,2.1,114.3946647644043
21,98,46,70.4,2.1,101.89485549926758
22,98,46,70.4,2.1,124.35507774353027
23,98,46,70.4,2.1,104.6147346496582
24,98,46,70.4,2.1,112.49303817749023
25,98,46,70.4,2.1,107.96308517456055
26,98,46,70.4,2.1,101.80187225341797
27,98,46,70.4,2.1,115.44919013977051
28,98,46,70.4,2.1,106.61149024963379
29,98,46,70.4,2.1,115.61393737792969
30,98,46,70.4,2.1,103.19352149963379
31,98,46,70.4,2.1,117.19775199890137
32,98,46,70.4,2.1,112.01786994934082
33,98,46,70.4,2.1,105.3926944732666
34,98,46,70.4,2.1,110.11457443237305
35,98,46,70.4,2.1,112.45536804199219
36,98,46,70.4,2.1,119.81534957885742
37,98,46,70.4,2.1,105.21197319030762
38,98,46,70.4,2.1,108.73532295227051
39,98,46,70.4,2.1,108.9015007019043
40,98,46,70.4,2.1,115.64040184020996
41,98,46,70.4,2.1,112.9302978515625
42,98,46,70.4,2.1,105.15832901000977
43,98,46,70.4,2.1,115.85521697998047
44,98,46,70.4,2.1,110.07285118103027
45,98,46,70.4,2.1,108.88862609863281
46,98,46,70.4,2.1,107.09452629089355
47,98,46,70.4,2.1,102.24127769470215
48,98,46,70.4,2.1,107.32913017272949
49,98,46,70.4,2.1,113.09480667114258
50,98,46,70.4,2.1,113.34896087646484
51,98,46,70.4,2.1,111.46211624145508
52,98,46,70.4,2.1,105.92985153198242
53,98,46,70.4,2.1,114.27545547485352
54,98,46,70.4,2.1,109.11011695861816
55,98,46,70.4,2.1,113.81912231445312
56,98,46,70.4,2.1,104.02894020080566
57,98,46,70.4,2.1,119.57693099975586
58,98,46,70.4,2.1,112.72525787353516
59,98,46,70.4,2.1,107.98525810241699
60,98,46,70.4,2.1,118.29924583435059
61,98,46,70.4,2.1,104.43711280822754
62,98,46,70.4,2.1,112.30134963989258
63,98,46,70.4,2.1,109.5881462097168
64,98,46,70.4,2.1,107.99574851989746
65,98,46,70.4,2.1,110.48269271850586
66,98,46,70.4,2.1,104.87556457519531
67,98,46,70.4,2.1,124.59635734558105
68,98,46,70.4,2.1,112.22243309020996
69,98,46,70.4,2.1,112.88976669311523
70,98,46,70.4,2.1,107.61570930480957
71,98,46,70.4,2.1,111.21582984924316
72,98,46,70.4,2.1,114.29953575134277
73,98,46,70.4,2.1,108.45422744750977
74,98,46,70.4,2.1,110.17799377441406
75,98,46,70.4,2.1,105.7119369506836
76,98,46,70.4,2.1,127.57110595703125
77,98,46,70.4,2.1,107.94425010681152
78,98,46,70.4,2.1,112.3039722442627
79,98,46,70.4,2.1,114.58349227905273
80,98,46,70.4,2.1,103.20425033569336
81,98,46,70.4,2.1,116.17445945739746
82,98,46,70.4,2.1,125.86450576782227
83,98,46,70.4,2.1,112.28275299072266
84,98,46,70.4,2.1,113.26479911804199
85,98,46,70.4,2.1,124.32360649108887
86,98,46,70.4,2.1,105.49163818359375
87,98,46,70.4,2.1,107.90419578552246
88,98,46,70.4,2.1,112.77937889099121
89,98,46,70.4,2.1,108.08062553405762
90,98,46,70.4,2.1,123.22807312011719
91,98,46,70.4,2.1,105.31425476074219
92,98,46,70.4,2.1,108.48498344421387
93,98,46,70.4,2.1,110.08644104003906
94,98,46,70.4,2.1,117.18440055847168
95,98,46,70.4,2.1,116.15967750549316
96,98,46,70.4,2.1,106.8260669708252
97,98,46,70.4,2.1,117.0656681060791
98,98,46,70.4,2.1,106.03141784667969
99,98,46,70.4,2.1,116.19257926940918
100,98,46,70.4,2.1,106.32157325744629
Media ,98.0,46.0,70.4,2.1,106.32157325744629
