Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,94,96.0,1.9,17391.236782073975
2,98,97,97.5,1.9,16776.652097702026
3,98,97,97.6,1.9,17423.80952835083
4,98,97,97.4,1.9,17298.935413360596
5,98,96,96.9,1.9,17535.457849502563
6,98,97,97.6,1.8,17717.18168258667
7,98,95,96.6,1.9,17493.546962738037
8,98,96,96.9,1.9,17606.569051742554
9,98,97,97.6,1.8,17236.75584793091
10,98,96,97.1,1.9,17099.57003593445
11,98,97,97.5,1.9,16894.97184753418
12,98,97,97.2,1.8,15862.59388923645
13,98,96,97.2,1.8,15684.751749038696
14,98,97,97.4,1.9,17517.292261123657
15,98,97,97.9,1.7,17252.347707748413
16,98,97,97.6,1.6,18625.99754333496
17,98,94,96.6,1.7,15610.721588134766
18,98,96,97.5,1.9,17049.864292144775
19,98,97,97.4,1.9,17746.906042099
20,98,97,97.4,1.7,16450.103521347046
21,98,97,97.4,1.9,18032.87625312805
22,98,94,96.0,2.0,17481.115341186523
23,98,97,97.5,1.8,17228.880167007446
24,98,97,97.2,1.8,16885.013341903687
25,98,94,96.7,1.9,17363.541841506958
26,98,97,97.5,1.9,17104.393243789673
27,98,95,96.6,1.9,17835.057020187378
28,98,97,97.7,1.8,17158.16855430603
29,98,96,97.2,1.7,18117.85054206848
30,98,96,97.2,2.0,17327.73208618164
31,98,97,97.4,1.8,17628.931283950806
32,98,97,97.6,1.8,17931.7729473114
33,98,96,96.7,1.9,16367.48456954956
34,98,97,97.4,1.9,17769.542455673218
35,98,96,97.0,1.8,18102.043628692627
36,98,96,97.0,1.8,16002.293109893799
37,98,96,97.1,1.9,18211.54475212097
38,98,97,97.4,1.9,17276.28183364868
39,98,95,96.8,1.9,18224.36809539795
40,98,96,97.2,1.8,17181.42557144165
41,98,97,97.5,1.8,17759.39130783081
42,98,97,97.6,1.9,17186.108350753784
43,98,96,96.8,1.9,17277.827978134155
44,98,96,97.5,1.9,18761.878967285156
45,98,97,97.2,1.9,16655.122756958008
46,98,96,97.3,1.8,18116.761207580566
47,98,97,97.2,1.9,17523.308753967285
48,98,97,97.7,1.6,17270.755290985107
49,98,96,97.2,1.8,17385.952472686768
50,98,95,96.6,2.0,16800.47059059143
Media ,98.0,96.28,97.20199999999997,1.848,17324.863200187683
