Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.3,1.8,18965.67440032959
2,98,96,96.9,1.9,17176.769971847534
3,98,97,97.3,1.7,15055.669069290161
4,98,96,96.8,1.9,18492.782592773438
5,98,96,96.7,1.9,19115.0963306427
6,98,96,97.3,1.8,18256.526231765747
7,98,97,97.5,1.8,17766.329765319824
8,98,97,97.5,2.0,18034.133911132812
9,98,97,97.4,1.9,16935.43577194214
10,98,97,97.5,1.8,17643.23854446411
11,98,97,97.4,1.8,17856.276512145996
12,98,94,96.2,1.8,17263.835191726685
13,98,96,97.1,1.9,16105.298280715942
14,98,95,96.5,1.9,17113.861083984375
15,98,97,97.4,1.6,15738.846778869629
16,98,97,97.6,1.9,17429.256677627563
17,98,96,97.0,1.8,17561.812162399292
18,98,94,96.6,1.9,15946.840047836304
19,98,97,97.6,1.8,16951.11656188965
20,98,97,97.6,1.8,17326.21431350708
21,98,97,97.6,1.7,17377.013444900513
22,98,96,97.2,1.9,17209.622859954834
23,98,97,97.5,1.9,17150.64239501953
24,98,97,97.4,1.7,18325.772762298584
25,98,96,97.2,1.7,15688.207864761353
26,98,96,97.2,1.8,19094.810009002686
27,98,96,96.8,1.9,16955.439805984497
28,98,97,97.6,1.9,16425.924062728882
29,98,97,97.6,1.8,17767.06552505493
30,98,96,97.0,1.8,15471.717357635498
31,98,96,97.4,2.0,17081.028699874878
32,98,97,97.4,1.9,18650.09379386902
33,98,96,96.9,1.9,17765.892028808594
34,98,97,97.4,1.9,18219.55418586731
35,98,97,97.7,1.8,16743.252277374268
36,98,97,97.8,1.7,16460.957765579224
37,98,96,96.7,1.9,16800.15468597412
38,98,97,97.8,1.7,16764.994859695435
39,98,97,97.5,1.8,16769.920110702515
40,98,97,97.5,1.9,16795.2618598938
41,98,96,96.8,1.8,15598.259449005127
42,98,97,97.3,1.8,16907.392978668213
43,98,97,97.5,1.9,17094.36869621277
44,98,94,96.3,2.0,16845.523357391357
45,98,97,97.4,1.8,17346.22836112976
46,98,96,97.6,1.9,16946.715354919434
47,98,96,97.2,1.7,18609.26580429077
48,98,97,97.7,1.7,16539.68358039856
49,98,96,97.2,1.9,17798.48551750183
50,98,96,96.7,1.9,17050.74405670166
Media ,98.0,96.4,97.24199999999999,1.8340000000000003,17219.78015422821
