Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.3,1.8,18294.416666030884
2,98,96,97.1,1.8,16560.855627059937
3,98,96,96.9,2.0,17178.160429000854
4,98,96,97.3,1.9,17382.094144821167
5,98,97,97.6,1.9,16816.920518875122
6,98,97,97.3,1.9,18037.243127822876
7,98,97,97.3,1.8,18312.67809867859
8,98,95,96.3,1.9,17139.95051383972
9,98,96,97.0,1.9,16506.312608718872
10,98,96,97.2,1.8,17775.020122528076
11,98,97,97.6,1.7,17267.34733581543
12,98,97,97.3,1.7,16731.88614845276
13,98,96,97.1,1.8,18194.0438747406
14,98,97,97.6,1.8,16907.564401626587
15,98,96,97.3,1.8,16821.096897125244
16,98,97,97.3,1.8,17761.425018310547
17,98,96,97.2,1.8,16458.290576934814
18,98,96,97.2,1.9,17816.251277923584
19,98,95,96.6,1.7,16257.986783981323
20,98,97,97.5,1.8,17471.81224822998
21,98,97,97.3,1.9,18348.042964935303
22,98,95,97.1,1.8,17616.859436035156
23,98,96,97.1,1.9,16903.342485427856
24,98,97,97.4,1.7,17740.79203605652
25,98,96,96.9,1.9,18314.377784729004
26,98,96,97.0,1.9,18876.97124481201
27,98,96,97.1,1.8,16195.234775543213
28,98,96,96.9,2.0,18141.220808029175
29,98,97,97.6,1.6,17560.70828437805
30,98,97,97.4,1.7,18410.849571228027
31,98,97,97.6,1.7,16918.702125549316
32,98,97,97.6,1.8,17165.013551712036
33,98,97,97.6,1.7,18069.452047348022
34,98,97,97.3,1.9,15973.445653915405
35,98,95,96.6,1.9,16564.437866210938
36,98,97,97.7,1.9,16600.510597229004
37,98,96,97.2,2.0,18107.861757278442
38,98,97,97.7,1.8,16943.379878997803
39,98,96,96.9,1.9,18964.30468559265
40,98,97,97.6,1.8,17688.78674507141
41,98,96,97.3,1.7,17875.20432472229
42,98,97,97.6,1.9,16993.386030197144
43,98,94,96.5,1.7,16240.280628204346
44,98,97,97.4,1.6,16755.05304336548
45,98,97,97.3,1.8,16540.74716567993
46,98,95,96.9,1.9,17357.096195220947
47,98,96,96.7,2.0,17307.074546813965
48,98,97,97.4,1.8,17523.5812664032
49,98,95,97.1,1.8,17395.241022109985
50,98,95,97.0,1.8,17592.097997665405
Media ,98.0,96.3,97.21599999999997,1.822,17367.50825881958
