Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.6,2.0,24996.858596801758
2,98,97,97.7,1.9,24764.686107635498
3,98,97,97.7,2.0,24153.153896331787
4,98,97,97.7,2.0,24300.990343093872
5,98,97,97.5,1.8,24570.621252059937
6,98,97,97.7,1.9,24243.430376052856
7,98,97,97.6,1.9,24850.69179534912
8,98,97,97.2,1.9,25611.021995544434
9,98,97,97.4,1.8,25462.028741836548
10,98,97,97.6,1.7,25194.1921710968
11,98,97,97.4,1.8,25425.2188205719
12,98,97,97.5,1.7,25239.506244659424
13,98,97,97.4,1.8,25216.729164123535
14,98,97,97.7,1.9,24220.648527145386
15,98,97,97.7,1.7,25512.693881988525
16,98,97,97.6,1.7,25364.909172058105
17,98,97,97.3,1.9,25571.0711479187
18,98,97,97.5,1.8,25382.50470161438
19,98,97,97.8,1.8,24788.39087486267
20,98,97,97.4,1.7,24899.308443069458
21,98,97,97.9,1.7,24670.626878738403
22,98,97,97.7,1.9,24703.967571258545
23,98,97,97.5,1.8,26075.77419281006
24,98,97,97.9,1.7,25363.418340682983
25,98,97,97.5,1.8,25409.0895652771
26,98,97,97.5,2.0,25303.993225097656
27,98,97,97.4,1.9,25667.73009300232
28,98,97,97.6,2.0,24428.452968597412
29,98,97,97.6,1.9,24763.36646080017
30,98,97,97.6,1.9,24405.28702735901
31,98,97,97.8,1.6,24781.35657310486
32,98,97,97.5,1.8,25433.505058288574
33,98,97,97.8,1.7,24324.421167373657
34,98,97,97.3,1.8,25624.79281425476
35,98,97,97.2,1.9,24919.792890548706
36,98,97,97.2,1.8,24561.540126800537
37,98,97,97.5,1.9,25297.327756881714
38,98,97,97.6,1.8,24937.07776069641
39,98,97,97.7,1.8,24718.68371963501
40,98,97,97.6,1.8,24543.736457824707
41,98,97,97.8,1.6,25915.40551185608
42,98,97,97.5,2.0,25267.578125
43,98,97,97.2,1.9,26285.65526008606
44,98,97,97.5,2.0,25094.759225845337
45,98,97,97.4,1.7,26008.46242904663
46,98,97,97.2,1.9,25466.212511062622
47,98,97,97.5,1.6,25758.098125457764
48,98,97,97.3,1.9,25545.08090019226
49,98,97,97.3,1.9,25759.265422821045
50,98,97,97.6,1.8,24292.362213134766
Media ,98.0,97.0,97.53399999999999,1.83,25101.909532546997
