Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.5,1.6,40830.119132995605
2,98,97,97.4,1.8,37551.393032073975
3,98,97,97.8,1.7,40036.75079345703
4,98,97,97.8,1.5,40742.42329597473
5,98,97,97.6,1.7,40453.407526016235
6,98,97,97.3,1.8,40263.831615448
7,98,97,97.4,1.8,36730.9353351593
8,98,97,97.5,1.7,36343.15991401672
9,98,97,97.4,1.7,37613.54184150696
10,98,97,97.5,1.9,40291.16749763489
11,98,97,97.3,1.8,38490.75269699097
12,98,97,97.5,1.8,41876.59668922424
13,98,97,97.9,1.7,38793.56384277344
14,98,97,97.6,1.5,39590.60716629028
15,98,97,97.5,1.7,37715.293407440186
16,98,97,97.3,1.8,34793.79415512085
17,98,97,97.5,1.8,41212.406158447266
18,98,97,97.5,1.8,41021.066427230835
19,98,97,97.5,1.8,41853.25860977173
20,98,97,97.6,1.7,39604.451179504395
21,98,97,97.4,1.6,36604.377031326294
22,98,97,97.1,1.9,39127.8600692749
23,98,97,97.8,1.5,40884.061098098755
24,98,97,97.4,1.9,39677.234172821045
25,98,97,97.6,1.7,41594.359159469604
26,98,97,97.8,1.5,41923.76518249512
27,98,97,97.5,2.0,40646.35157585144
28,98,98,98.0,1.6,38445.9125995636
29,98,97,97.4,1.7,42140.47837257385
30,98,97,97.4,1.8,41331.24399185181
31,98,97,97.7,1.9,39186.55586242676
32,98,97,97.3,1.7,37912.763833999634
33,98,97,97.4,1.7,38030.59983253479
34,98,97,97.2,1.9,41766.65115356445
35,98,97,97.7,1.7,41166.24069213867
36,98,97,97.6,1.8,41530.26056289673
37,98,97,97.6,1.9,39250.70643424988
38,98,97,97.6,1.6,41448.805809020996
39,98,97,97.5,1.7,37342.69738197327
40,98,97,97.3,1.8,39650.4123210907
41,98,97,97.3,1.9,41375.67234039307
42,98,97,97.4,1.7,43364.69602584839
43,98,97,97.6,1.8,40047.6279258728
44,98,97,97.6,1.9,40322.64995574951
45,98,97,97.5,1.8,41180.588722229004
46,98,97,97.2,1.8,35561.240911483765
47,98,97,97.5,1.7,42146.15058898926
48,98,97,97.7,1.9,42197.73530960083
49,98,98,98.0,1.6,41845.41654586792
50,98,97,97.6,1.8,40478.78098487854
Media ,98.0,97.04,97.52200000000002,1.7480000000000002,39879.80833530426
