Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,99,98,98.3,1.9,20033.989191055298
2,99,98,98.1,1.8,20199.79214668274
3,99,97,98.1,1.8,20942.917108535767
4,99,98,98.4,1.8,20233.258724212646
5,99,98,98.2,1.9,21628.64089012146
6,99,98,98.4,1.8,21679.599285125732
7,99,98,98.4,1.8,20598.673105239868
8,99,98,98.3,1.8,21371.756076812744
9,99,98,98.1,1.9,20103.99031639099
10,99,98,98.1,1.7,19831.702947616577
11,99,98,98.3,1.8,21686.15984916687
12,99,98,98.3,1.9,20166.06593132019
13,99,97,98.2,1.9,20644.82569694519
14,98,97,97.9,1.7,22856.99725151062
15,99,98,98.3,1.9,20635.23554801941
16,99,98,98.3,1.9,20404.81662750244
17,99,98,98.4,1.8,20886.670351028442
18,99,98,98.2,2.0,21542.25516319275
19,99,98,98.2,1.8,19702.08168029785
20,99,98,98.3,1.9,20032.020568847656
21,99,98,98.2,1.7,19484.201431274414
22,99,98,98.3,1.9,21525.386810302734
23,99,98,98.4,1.8,21395.094633102417
24,99,98,98.3,1.7,21262.893438339233
25,99,98,98.3,1.8,20708.658456802368
26,99,98,98.3,1.9,20861.94896697998
27,99,97,97.9,1.8,19800.3146648407
28,99,98,98.2,1.7,21787.24980354309
29,99,98,98.3,1.9,20354.772329330444
30,99,98,98.3,1.8,22259.224891662598
31,98,98,98.0,2.0,21866.277933120728
32,99,98,98.4,1.8,20788.093090057373
33,99,98,98.4,1.8,20446.53606414795
34,99,97,98.0,1.7,19931.554794311523
35,98,98,98.0,1.9,22620.213270187378
36,99,97,98.2,1.9,20200.660705566406
37,99,97,97.9,1.8,20343.749284744263
38,99,98,98.3,1.9,20985.727787017822
39,99,98,98.2,1.8,21633.694887161255
40,99,98,98.3,1.9,20809.512615203857
41,99,97,98.2,1.8,21134.880304336548
42,98,98,98.0,1.9,22722.77522087097
43,98,98,98.0,1.8,22195.261478424072
44,99,98,98.3,1.9,22093.013525009155
45,99,97,98.0,1.7,19937.770128250122
46,99,98,98.3,1.8,20416.918992996216
47,99,97,98.3,1.9,20058.78496170044
48,99,98,98.4,1.9,20858.162879943848
49,99,98,98.3,1.9,21098.408222198486
50,98,97,97.9,1.9,22843.777656555176
Media ,98.88,97.78,98.21400000000001,1.8360000000000003,20952.139353752136
