Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,81,11,22.4,3.2,5.454540252685547
2,81,13,24.6,3.4,348.0846881866455
3,81,15,30.1,3.0,347.23448753356934
4,81,19,32.4,3.1,328.9651870727539
5,81,19,32.4,3.3,341.249942779541
6,81,21,35.1,3.2,349.1630554199219
7,89,24,41.9,3.0,326.8425464630127
8,89,27,42.5,3.0,289.5188331604004
9,89,27,47.2,2.9,307.61027336120605
10,89,27,47.2,2.9,316.1962032318115
11,89,27,47.2,2.9,299.5905876159668
12,89,29,53.9,2.5,317.1367645263672
13,89,29,53.9,2.5,286.6816520690918
14,89,29,53.9,2.5,314.0912055969238
15,89,29,53.9,2.5,311.5396499633789
16,89,30,55.7,2.3,322.4680423736572
17,89,30,55.7,2.3,303.206205368042
18,89,30,55.7,2.3,299.4251251220703
19,89,30,55.7,2.3,308.93445014953613
20,89,35,60.9,2.1,336.899995803833
21,89,36,63.2,2.0,304.41927909851074
22,89,36,63.2,2.0,303.36833000183105
23,89,36,63.2,2.0,283.25867652893066
24,89,36,63.2,2.0,297.6105213165283
25,89,36,63.2,2.0,314.5890235900879
26,89,43,65.4,2.0,296.2360382080078
27,89,43,65.4,2.0,320.0950622558594
28,89,57,70.9,1.9,298.86722564697266
29,89,57,70.9,1.9,297.02162742614746
30,89,57,70.9,1.9,320.99461555480957
31,89,57,70.9,1.9,298.3734607696533
32,89,58,72.7,1.9,306.9267272949219
33,89,58,72.7,1.9,276.23438835144043
34,89,58,72.7,1.9,347.0878601074219
35,89,58,72.7,1.9,307.2826862335205
36,89,58,72.7,1.9,304.6269416809082
37,89,58,72.7,1.9,334.8803520202637
38,89,58,75.0,1.9,305.5872917175293
39,89,58,75.0,1.9,283.51306915283203
40,89,58,75.0,1.9,321.3169574737549
41,89,58,75.0,1.9,296.53048515319824
42,89,59,75.1,1.9,306.48231506347656
43,89,65,77.0,1.9,307.44171142578125
44,89,65,77.0,1.9,323.35376739501953
45,89,65,77.0,1.9,323.9469528198242
46,89,65,77.0,1.9,301.49173736572266
47,89,65,77.0,1.9,296.3292598724365
48,89,65,77.0,1.9,305.85479736328125
49,89,65,77.0,1.9,302.58917808532715
50,89,65,77.0,1.9,325.39916038513184
51,89,66,78.3,1.9,311.71441078186035
52,89,66,78.3,1.9,309.6754550933838
53,89,66,78.3,1.9,317.08788871765137
54,89,66,78.3,1.9,299.6971607208252
55,89,66,78.3,1.9,313.6792182922363
56,89,74,79.8,1.9,296.7042922973633
57,89,74,79.8,1.9,307.83534049987793
58,89,74,79.8,1.9,297.8940010070801
59,89,74,79.8,1.9,308.091402053833
60,89,74,79.8,1.9,289.94059562683105
61,89,74,79.8,1.9,297.3158359527588
62,89,75,80.3,1.9,321.7885494232178
63,89,75,80.3,1.9,317.1350955963135
64,89,78,81.1,1.9,293.1036949157715
65,89,78,81.1,1.9,305.70125579833984
66,89,78,81.1,1.9,304.3379783630371
67,89,78,81.9,1.9,323.56715202331543
68,89,78,81.9,1.9,321.6891288757324
69,89,78,81.9,1.9,315.67883491516113
70,89,78,81.9,1.9,330.7075500488281
71,89,78,81.9,1.9,321.06685638427734
72,89,78,81.9,1.9,317.4912929534912
73,89,78,81.9,1.9,316.9839382171631
74,89,78,81.9,1.9,308.671236038208
75,89,79,82.4,1.9,298.13432693481445
76,89,79,82.4,1.9,330.812931060791
77,89,79,82.4,1.9,307.7244758605957
78,89,79,82.4,1.9,324.71776008605957
79,89,79,82.4,1.9,320.1904296875
80,89,79,82.4,1.9,318.76158714294434
81,89,79,82.4,1.9,322.9196071624756
82,89,79,82.4,1.9,325.56939125061035
83,89,79,82.4,1.9,337.86988258361816
84,89,79,82.4,1.9,307.3101043701172
85,89,79,82.4,1.9,316.87402725219727
86,89,79,82.4,1.9,315.54484367370605
87,89,79,82.8,1.9,302.17671394348145
88,89,79,82.8,1.9,322.68714904785156
89,89,79,82.8,1.9,327.960729598999
90,89,79,82.8,1.9,303.41362953186035
91,89,79,82.8,1.9,306.2255382537842
92,89,79,82.8,1.9,302.1113872528076
93,89,79,82.8,1.9,295.6681251525879
94,89,79,82.8,1.9,315.58871269226074
95,89,79,82.8,1.9,293.22242736816406
96,89,79,82.8,1.9,300.0345230102539
97,89,79,82.8,1.9,311.7504119873047
98,89,79,82.8,1.9,281.79287910461426
99,89,79,82.8,1.9,309.6628189086914
100,89,79,82.8,1.9,316.42794609069824
Media ,89.0,79.0,82.8,1.9,316.42794609069824
